source,target
赞美诗,音乐 本书 教堂 唱歌 歌曲 
超级,快速 好 以上 奇迹 优秀 伟大 能源 结束 激励 行动 
催眠,魔术 睡眠 催眠 tr 控制 
冰,硬 滑 冬季 雪 饮料 冷 水 保持 融化 固体 酷 冻结 清除 多维数据集 
冰山一角,海洋 冻结 水 冷 泰坦 浮法 巨大 找到 大 冰 
id,喜庆 人 身份 证明 卡 
想法,思想 光 灯泡 脑 认为 
理想,可能 最佳 一个 完美 目标 
相同,相同 精确 孪生 完整 喜欢 
身份,个人 其他 社会 名称 驾驶员 身份 许可证 证明 人 
偶像,崇拜 向上 英雄 看 人 
圆顶冰屋,斯基摩 北 雪 冷 首页 块 圆顶 房子 形状 生成 冰 
鬣蜥,爬行动物 舌 bug 动物 蜥蜴 气候 四 沙漠 宠物 腿 规模 长 吃 热 眼睛 软泥 尾巴 绿色 
生病,感觉 发烧 很好 医疗 抛出 向上 生病 医学 
非法,法律 犯罪 规则 反对 
图像,油漆 视觉 代表 图片 照片 
想象,思想 思考 梦想 看到 向上 想法 
模仿,副本 哑剧 猿 复制 跟随 模仿 行动 模拟 
不成熟,男孩 儿童 成熟 年轻 行动 
立即,延迟 即时 向右 离开 现在 
不朽,吸血鬼 生活 永远 最后 死 结束 神 死了 可以 
不耐烦,快速 想要 着急 等待 可以 
内爆,里面 向内 自己 爆炸 秋天 崩溃 
重要,必要 优先级 表示 伟大 价值 
不可能的,发生的 可能的 有能力的 坚硬的 
印象,感觉 思想 第一 想法 意见 
在,打开 开关 限制 顶部 放置 光 指示 电源 相反 在里面 汽车 关闭 工作 在 
无能,完整 能力 能够 缺乏 
倾斜,陡峭 倾斜 
收入,工资 工作 钱 收入 薪水 
增加,增益 更多 相反 向上 减少 增加 大 
独立,依赖 单独 自己 其他 
印度,文化 美国 本地人 城市 印度 人 
指示,教 登录 通知 告诉 直接 线索 指示 领导 显示 提示 点 给定 知道 
间接,结果 回合 直接 节拍 
室内,内部 里面 与 在 室外 温暖 部分 房子 装饰 庇护所 汽车 
在室内,里面 与 建立 房子 游戏 
工业,生产 公司 制造 工厂 业务 工作 
惯性,移动 力 物理 身体 运动 
感染,疾病 细菌 病毒 原因 正文 生病 感染 
次优,好 质量 优 低 少 
通货膨胀,值 成本 向上 钱 经济 增加 价格 空气 大 
信息,新的 事实 数据 统计信息 知道 
吸气,肺 嘴里 气体 自愿 在 氧气 物理 雪茄 烟 空气 行动 需要物质 鼻子 生活 一天 药物 采取 生存 深 意图 过程 动物 呼气 对象 呼吸 
初始,名称 开始 首先 字母 
注入,推 仪器 刺穿 眼动物 针 液体 医学 层 在 运输 物质 保护 行动 预防 人类 药物 血液 生病 穿刺 工具 请 对象 
注射,疫苗 注射器 针 医学 射击 
囚犯,将 定罪 监狱 法律 橙色 惩罚 犯罪 坏 举行 单元格 俘虏 栏 反对 人 
客栈,住宿 床 睡眠 空置 酒店 食品 小 作为 国家 地方 房间 生成 在 
无罪,天真 纯 内lt 缺乏 儿童 年轻 知道 
无辜,纯 内gui 做 错 儿童 
查询,通知 问题 询问 想要 知道 
疯了,心理 庇护 狂热 思想 理智 正常 生病 认为 人 
昆虫,bug 害虫 小 腿 爬行 飞 六个 
不安全,感觉 缺乏 尊重 低 有信心 自我 确保 
内部,内部 具有 外部 关闭 室内 生成 
洞察力,通知 视图 智慧 理解 知道 
实例,发生 示例 时间 时刻 秒 
即时,快速 立即 对 时间 时刻 离开 
本能,感觉 胆量 因材 与生俱来 自然 知道 
说明,直接 步骤 列表 遵循 指南 
仪器,工具 吉他 音乐 小号 乐队 播放 长笛 声音 钢琴 鼓 
侮辱,感觉 单词 伤害 坏 犯罪 粗鲁 说 
保险,生活 钱 封面 保护 汽车 
进气,输入 空气 进食 摄取 
集成,在一起 组合 添加 混合 带来 
强度,功率 强度 能量 程度 时态 
目的,生活 计划 平均值 原因 目标 目的 手段 为什么 行为 
有趣,专心 接触 好奇 着迷 阴谋 人 
交织在一起,编织 连接 交织在一起 组合 
中断,流 休息 切 粗鲁 说 停止 
面试,问题 询问 就业 满足 工作 答案 
陶醉,状态 酒精 影响力 影响 药物 醉酒 饮料 下 高 温柔 
介绍,知道 告诉 新 满足 第一 现在 人 
性格内向,社会 安静 性格外向 相反 害羞 人 
直觉,本能​​ 感觉 胆量 六个 感官 知道 
无效,有效 错误 正确 接受 
创造一个新的创造之前,
发明人,一个 新 想法 创建 人 
投资者,投资 股票 时间 钱 银行 
邀请,用餐 手势 来 沟通 业务 问 告诉 查找 动词 行动 聚集 加入 人类 扩展 种类正式 欲望 欢迎 请求 事件 朋友 很好 
铁,皱纹 硬 金属 元素 强 布 
不规则,怪异 不同 奇数 正常 常规 
激怒,讨厌 加重 母亲 原因 愤怒 
岛,周围 件 土地 空置 海洋 小 水 热带 海滩 沙 
隔离,切 孤独 离开 关闭 单独 
问题,数学 主题 情况 直接 困难 问题 杂志 讨论 混淆 学校 询问 需要 位置 解决 答案 疑问 解决方案 知道 
它,知道 小丑 名词 对象 人 
意大利语,意大利 意大利面 食品 类型 比萨饼 语言 人 
痒,tic痒 爪子 减轻 浮雕 舒适 正文 疼痛 过敏 自愿 医学 快速 bug 指甲 参加 刮擦 尴尬 烦恼 干 常数 行动 移动 污垢 伤口 东西 人类 红色 现货 昆虫 想要 皮肤 从头开始手指 手 反射 动物 刺激性 对象 咬伤 有义 
项目,一个 物理 杂货 对象 存储 
象牙,颜色 角 骨 牙 肥皂 大象 白 关闭 象牙 
常春藤,类型 成长 攀爬 毒药 植物 生成 绿色 藤 
刺客,胡言乱语 聊天 谈话 漫步 烦恼 
夹克,皮革 颜色 袖子 冬季 邮编 雨 冷 保持 温暖 按钮 温度 磨损 敞篷 秋天 布 口袋 人 
监狱,专心 监狱 地方 惩罚 犯罪 坏 单元格 酒吧 栏 人 
简,迪克 知道 平原 名称 常见 母鹿 女人 女孩 女性 泰山 人 
日本,寿司 技术 港口 珍珠 食品 大米 岛 国家 东京 亚洲 人 
jar,果酱 东西 透明 盖 食品 螺钉 休息 保留 标签 塑料 举行 玻璃 包含 
颌骨,骨 电影 嘴里 吃 部分 举行 鲨鱼 嚼 牙齿 
爵士乐,音乐 仪器 类型 播放 萨克斯管 黄铜 钢琴 蓝色 
牛仔裤,颜色 布 持续时间 淡入淡出 裤子 按钮 舒适 牛仔布 磨损 休闲 rip 蓝色 压缩 口袋 人 
吉普车,打开 夏季 屋顶 绿色 地面 地形 地毯 四 车轮 陆军 车辆 路 高 关闭 驱动器 转换 汽车 
果冻,水果 微妙 风味 颜色 口味 草莓 葡萄 明胶 食品 甜 甜点 花生 面包 吐司 棒 黄油 吃 三明治 
混蛋,朋友 粗鲁 拉 突然 人 
耶稣,教堂 圣经 儿子 基督 之一 救世主 神 宗教 
喷射,燃料 快速 大声 机翼 飞机 旅行 金属 车轮 通道 飞行员 运输 飞 引擎 大 
珠宝首饰,费用 银 金属 环 项链 光泽 手链 宝石 婚姻 一轮 磨损 装饰 黄金 石头 贵重 红宝石 手指 耳环 稀有 便宜 钻石 符号 漂亮 
犹太人,希特勒 耶稣 大屠杀 宗教 人 
拼图,工具 件 挑战 很多 乐趣 锯 困惑 一块 切 解决 在一起 拼图 游戏 图片 
工作,辛苦 员工 任务 钱 时间 工作 支付 
失业,与 消防 就业 钱 工作 人 
乔克,体育 运动员 表带 播放 足球 
慢跑,肌肉 轮胎 能源 长 湖 在 第四 快速 速度 乐趣 跟踪 小 光 运行 运动 行动 腿部 人类 移动脚 慢 手臂 弹跳 步行 治愈 跳转 通过 返回 之间 机 
慢跑者,一个 慢跑 慢 运行 运动 人 
加入,一起 来 团队 部分 组 
联合,两个 大麻 骨 一起 雪茄 连接 地方 会议 点 
笑话,搞笑 乐趣 喜剧 笑 人 
杂志,杂志 天 阅读 单词 平滑 钱 写 人 本书 书 思想 光泽 广告 购买 封面 颜色 它 页面 图片 出售 日记 纸张 日志 记录 存储 文章 
旅程,冒险 长 旅行 乐队 
欢乐,快乐 激发 欢呼 充分 欢乐 
法官,长袍 决定 法律 法院 人 
魔术师,魔术 娱乐 多个 任务 人 幻觉 兔子 执行 空气 一个 玩杂耍 渔获 拉 手 投掷 马戏团 已 把戏 对象 
果汁,水果 口味 蔓越莓 早餐 葡萄 甜 橙色 饮料 蔬菜 菠萝 良好 健康 儿童 液体 苹果 
跳转,移动 地面 腿部 蹦床 跳 绳子 高 飞跃 向上 弹跳 关闭 篮球 空气 
跳动的,神经 焦虑 放松 吓了一跳 惊吓 
丛林,野生 动物 雨 危险 植物 树 森林 绿色 
初中,相同 高级 以下 儿子 名称 小 学校 等级 经验 父亲 年轻 少 
陪审团,同伴 决定 十二 法官 内gui 审判 集团 案件 法院 人 
公正,平等 道德 诚实 对 公正 
正义,法官 法律 公平 法院 权利 
辩解,理由 采取行动 借口 对 证明 
少年,旧 十九 年龄 学校 青春期 麻烦 高 十三 儿童 成熟 年 年轻 人 
袋鼠,生活 动物 有袋动物 腿 袋 跳 澳大利亚 跳转 
保持,持有 移动 拥有 您的 放置 给予 离开 之后 留下来 
番茄酱,浓 英语 酱 调味品 红色 番茄 香料 
水壶,茶 电动 顶部 蒸汽 使 咖啡 手 喷口 塑料 热 举行 家电 煮 插头 厨房 
密钥,打开 银 由 黄金 金属 锁 岭 小 轻松 链 丢失 薄 汽车 
键盘,计算 仪器 设备 类型 许多 器官 数字 钢琴 输入 键 字母 
键盘音乐,电动 键 音乐 请注意 仪器 声音 白 钢琴 便携式 黑色 
键,工具 打开 由 金属 锁 代码 对象 输入 
踢,接触 推 命中 目标 足球 快速 力 推进受伤 球 运行 游戏 行动 防御 移动 腿部 人类 某事 电源 罢工 向上 推力 动物 高 对象 
孩子,山羊 小 婴儿 儿童 年轻 人 
肾脏,尿液 人类 豆 正文 过滤器 器官 
孩子们,小 播放 能源 儿童 年轻 
杀,法律 死亡 悲伤 正文 自愿 愤怒 苛刻 犯罪 力停止 行动 生活 伤口 人类 永久 血液 某人 生存 需要 坏 结束 武器 意图 后果 动物 谋杀 暴力 
杀手,杀死 生活 一个 死 谋杀 人 
公里,一千 系统 米 远 度量 英里 单位 措施 
种类,其他 帮助 朋友 类型 甜 很好 护理 人 
动能,运动 类型 能量 作用 
国王,电源 国家 规则 女王 皇家 皇冠 君主 
吻,爱 影响 嘴唇 触摸​​ 人 
厨房,库克 准备 地方 食物 房间 
风筝,颜色 受欢迎 字符串 木 播放 纸 风 塑料 钻石 玩具 飞 儿童 
小猫,小 播放 猫 婴儿 喵 可爱 毛皮 年轻 
面巾纸,组织 鼻子 名称 品牌 打击 冷 纸 
克鲁兹,坐标 旅行 伤害 人 结束 拖放 秋天 笨拙 
膝盖,锁 肌肉 低 正文 弯曲 大腿 自愿动物 直接 铰链 腿 封面 运行 关节 移动 腿部 人类 坐 需要 肌腱 向上 步行 中间 反射 骨 中部 部分 粗糙 流行音乐 
跪,祈祷 一个 向下 显示 膝盖 弯曲 人 
刀,锋利 边缘 锯齿状 损坏 手持式 金属 死 吃 叉 血 屠夫 拆分 小 光泽 木材 伤害 切 刺 使用 短银 保护 雕刻 餐具 人类 人造 点 手 吓坏了 工具 食品 蔓延 对象 银器 大 厨房 
骑士,装甲 服务 之一 剑 马 
针织,纱 线程 围巾 工艺 毯子 旧 针织 母亲 毛衣 温暖 女人 针 创建 行动 布 
敲,打开 两个 接触 手势 沟通 推 命中 拳头 吓了一跳 指关节 房间 议案 声音 关闭 行动 硬 英镑 人类 噪声 礼貌 重复 名词目的 首页 手 知道 请求 短 由 信号 对象 大声 输入 
结,领带 字符串 绳子 向上 安全 
知道,教育 通知 理解 智能 学习 事实 意识到 确定 答案 人 
知识,明智 智能 学习 学校 脑 
已知,熟悉 理解 认识 知道 
实验室,实验 地方 研究 狗 科学 测试 实验室 工作 行为 
标签,通知 价格 项目 名称 播放 标签 棒 纸 儿童 游戏 布 
迷宫,迷宫 复杂 混淆 困惑 丢失 结束 拼图 玉米 路径 
花边,鞋 磨损 装饰 织物 布 
梯子,步骤 金属 木材 地方 爬升 高 向上 到达 
钢包,库克 汤 搅拌 ​​手 食品 服务 金属 木材 长 勺子 塑料 使用 厨房 
夫人,类 适当 服饰 旧 方式 很好 尊重 女人 向上 磨损 礼貌 女孩 女性 
泻湖,池塘 浅 沼泽 小 水 正文 
湖,滑雪 水 管 鱼 游泳 正文 船 大 
羊肉,草 吃 毛皮 黑色 牧羊人 肉 腿 农场 绒毛 羊肉 四 作为 羊 剪切 白 巴哈 剪辑 动物 食品 羊毛 类型 软 
灯,开关 电动 电线 地板 光明 表 家具 阴影 光 天花板 灯泡 热 挂 使 油 
土地,污垢 生活 属性 草 地面 水 地球 自己的 封面 农场 树 生成 
景观,视图 油漆 土地 国家 区域 现场 
语言,英语 沟通 不同 许多 说 人 
灯笼,光明 蜡烛 金属 旧 在 光 火焰 石油 手 举行 气体 营 玻璃 时尚 晚上 
大腿上,一个 坐 座位 腿 正文 部分 轨道 
翻领,折叠 西装 衣领 大衣 部分 夹克 针 
失效,下降 滑倒 时间 错误 失败 
激光,手术 光 红色 点 光束 
睫毛,命中 罢工 鞭子 眼睑 头发 
持久,漫长 永远 耐力 继续 时间 
闩锁,到 锁 举行 系紧 关闭 门 钩 
晚,早期 通过 时间 迟到 到达 之后 晚上 
以后,以后 未来 拖延 时间 现在 
拉丁语,古代 旧 罗马 死 许多 帝国 语言 
笑,快乐 声音 表达 笑话 欢乐 微笑 
启动,关闭 设置 运动 开始 
洗衣,污垢 清洁 需要 洗 干 布 
熔岩,岩 岩浆 来了 融化 热 火山 液体 
法律,力 顺序 规则 法院 遵循 
草坪,花园 草 公园 割 绿色 
诉讼,起诉 法官 法律 钱 法院 
躺下,平坦 躺下 睡眠 休息 向下 
层,表面 蛋糕 行 等级 一层 封面 厚 铺设 层 级别 
铅,更好 移动 知道 帮助 理解 沟通 人类 观察 查找 跟随 位置 第一 集团 拉 行动 指南 
领导者,好 强大 领导 跟随 主席 收费 人 
领导力,其他 当局 直接 领导 跟随 组 收费 人 
叶,茎 成长 部分 器官 植物 树 绿色 
联盟,组织 棒球 体育 团队 俱乐部 集团 人 
泄漏,滴灌 裂缝 通过 逃逸 水 管 液体 包含 孔 
瘦,倾斜 瘦 小 称重 皮肤 健康 薄 脂肪 反对 人 
跳,跳过 青蛙 跳 游戏 跳转 
学习,教育 教 书 新 学习 学校 等级 测试 知道 
租赁,合同 借款 方 同意 自己 时间 期限 租金 支付 临时 
最少,最小 较少 较小 最后 相反 金额 
皮革,牛 引导 费用 坚韧 棕色 皮带 钱包 夹克 家具 座位 材料 汽车 光滑 软 布 黑色 
离开,移动 旅行 动物 目的地 采取 退出 某事 查找 行动 腿 意图 表达 关闭 更改 步行 
叶子,颜色 嘎吱嘎吱 树 秋天 绿色 
壁架,边缘 悬崖 高 结束 危险 关闭 秋天 
左,侧 直接 右 相反 脸 手 
腿部,两个 肌肉 长 正文 刮胡子 人 躯干 附件 爱 脚 附加 运行 短马 移动 伤口 站立 人类 扩展 需要 皮肤 踢 工作 头发 步行 直 骨 对接 动物 竞赛 支持 向下 部分 对象 膝盖 强 肢体 
法律的,具有许可证 允许的 法律的 根据的 
传说,历史 旧 故事 神话 传统 
军团,军队 军事 许多 数量 集团 大 人 
立法机关,法律 国会 人 正文 部分 政府 
腿,人类 身体 支持 步行 肢体 
柠檬,"酸 圆 椭圆形 种子 饮料 吃 柑橘 蛋,,柠檬 水果 茶 肉 小 树水 风味 库克 皮肤 派 果皮 黄色 汁液 苦 成长 味道 汽车 "
借出,打开 借款 同意 拥有 朋友 人类 返回 慷慨 简短 钱 银行 对象 意图 种类 行动 给定 临时 
长度,脚 米 远 长 时间 规则 措施 英寸 
宽容,缓解 宽恕 规则 允许 严格 
镜头,件 光 请参阅 相机 部分 玻璃 
豹,安静 橙色 猫 长 攀爬 哺乳动物 毛皮 尾巴 黑色 丛林 快速 走 尾 腿 运行 树 森林 狩猎 野生 食肉兽 暗 四 大衣 危险 黄色 时尚 光动物 动物 非洲 捕食者 凶猛 强 大 
紧身连衣裤,舞蹈 颜色 拉伸 紧 芭蕾舞 腿 有氧运动 女人 磨损 运动 布 
更少,很少 更多 数量 很小 足够 
让,允许 给 网球 人 
信,爱 请注意 词 人 纸 邮件 写 字母 
生菜,长叶莴苣 花园 叶 种脆 服饰 很多 里面 兔子 类型 冰山 营养 吃 头 薄 离开 存储 层 绿色 
级别,工具 构造 木工 木材 线 平 措施 泡沫 游戏 使 生成 直 甚至 
杠杆,移动 开关 拉动 机器 手 
诽谤,说谎 打印 法律 诽谤 真 坏 虚假 声望 写 成名 人 
自由主义,开放 政治 自由 慷慨 头脑 民主 请假 
虱子,bug 生活 小 痒 昆虫 头 头发 
许可证,权威 法案 允许 需要 文件 给予 驱动器 许可证 汽车 
舔,接触 亲吻气味 中风 爪子 饮料 猫 水 吃 舌头 爱 乐趣 狗 封面 运行 行动 移动 人类 芽 扩展 唾液 向上 口味 食品 湿 触摸 脸 儿童 
盖,泄漏 要 桶 食品 罐 密封 保持 无 塑料 封面 关闭 保护 包含 
谎言,告诉 真相 诚实 坏 白 假 罪孽 小谎 真实 欺骗 
生活,生活 死 存在 死亡 时间 呼吸 人 
生命之血,生活 血液 红色 给予 
光,光明 太阳 请参阅 灯泡 黑暗 
头昏眼花,感觉 血液 微弱 头 头晕 
闪电,天空 风暴 电动 光明 来 云 光 雨 消防 雷声 闪存 
石灰,酸 圆 酸增长 水 烤 吃 柑橘 果汁 水果 酒精 小 雪碧 树 库克 光明 热带 果皮 嚼 口味 苦 对象 绿色 
豪华轿车,费用 座位 豪华 长 场合在 汽油 黑色 人 酒精 太阳 车轮 四 窗口 白 皮革 电视 驱动器 色调 通道 许多 栏 大 汽车 
mp行,移动 通知 跃点 主张 脚 搞笑 困难 慢 行动 腿 伤害 疼痛 放松 意图 拖放 步行 
亚麻,编织 床 棉花 表 织物 布 
内衣,短 服装 框 性 下 花边 女人 磨损 内裤 胸罩 布 
链接,网站 一起 连接 链 互联网 
皮棉,纤维 灰尘 干 关闭 绒毛 织物 布 口袋 
狮子,爪子 猫 长 吃 男性 哺乳动物 毛皮 种类 尾巴 野兽 丛林 牙齿 肉 腿 保护 森林 动物园四个 狩猎 美容 棕色 食肉兽 吼声 杀死 猫科动物 国王 电源 黄色 爪 国内 动物 活 意味着 非洲 捕食者 巨大 恐慌 大 
嘴唇,两个 敏感 侧 边缘 单词 嘴里 长 吃 粉红色 薄 结构 亲吻 牙齿 说打开 封面 干 鼻子 红色 厚 周围 动物 湿 向下 部分 脸 软 出来 大 微笑 
液体,流 状态 问题 饮料 水 湿 流体 固体 形状 包含 
列表,组织 项目 词 写 项目符号 
听,通知 沟通 理解直接 专心 参加 声音 形式 耳 行动 语言 感兴趣 意见 遵循 过程 歌曲 音乐 感知 朋友 大声 
点燃,光明 蜡烛 火 光 设置 
文学,类 书 读 工作 写 
小,短 大小 小 婴儿 金额 大 
肝脏,酒精 血液 正文 过滤器 器官 
蜥蜴,爬行动物 bug 腿部 动物 血液 四 冷 规模 吃 尾巴 绿色 
负载,沉重 运载 称重 工作 卡车 金额 金钱 负载 支付 大 
贷款,两个 发出给 手势 钱 拥有 时间 玩具 允许 行动 轮 动词 借款 人类 需要 慷慨 接受 帮助 朋友 返回 很好 银行 对象 房子 汽车 临时 
耳垂,圆 部分 耳环 耳 刺 
龙虾,费用 水 游泳 吃 黄油 尾巴 海鲜 人 煮 狩猎 好 外壳 海洋 红色 眼 口味 爪 动物 甲壳动物 
本地,社区 区域 远 镇 关闭 附近 
位置,地点 地理 地方 区域 定位 特定 工作 
锁,打开 由 保持 密钥 安全 关闭 保护 汽车 
轨迹,噪声 昆虫 中心 错误 飞 
矿山,矿 矿石 存款 丰富 岩石 
日志,棕色 消防 木 切 树 
对数,数学 计算 问题 等式 数字 
伦敦,英国 英格兰 资本 城市 女王 大 本 
长,短 长度 遥远 相反 时间 
看,视图 感知 沟通 人类 观察 眼看 兴趣 出现 目前 表达 联系人 手表 行动 见 过程 确认 
看起来,扫视 打开 凝视 直接 一个 人 请参阅 出现 给予 眼 看 视线 
宽松,适合 固定 紧紧 免费 释放 
放松,平静 下来 领带 休息 紧 做 压力 放松 睡觉 少 
主,土地 自己 基督 耶稣 神 
输,沮丧 地方 讨厌的人 悲伤 自愿 拥有 赢 拖放 游戏 行动 对面 人类 自己 坏 短 发行 隐藏 离开 任命 失败 夏普 
失败者,失败 做 赢 人 
损失,拍子 移动 事件 沮丧 情感 人类 采取 赢 某事 悲伤想要 重要 对象 任命 失败 游戏 行动 永久​​ 
丢失,未命中 查找 显示 恐慌 知道 
很多,更多 土地 很多 地方 区域 丰富 公园 许多 交易 数量 金额 大 汽车 
大声,音乐 声音 高 噪音 人 
休息室,懒惰 铺设 休息 饮料 地方 椅子 酒吧 放松 房间 
情人,伙伴 爱 性 丈夫 配偶 妻子 人 
相思,小狗 爱 快乐 错过 心 
低,地面 小 相反 高 向下 关闭 
较低,下方 底部 较少 较高 
润滑,移动 润滑脂 缓和 滑移 湿 湿润 油 
运气,事件 好 赢 机会 财富 
木材,木材 锯 切 树 生成 
肿块,肿瘤 质量 肿胀 形状 肿块 
午餐,用餐 一天 早餐 餐 食品 光 吃 
肺,两个 碳 正文 部分 器官 粉红色 呼吸 癌症 空气 氧化物 氧气 
通心粉,肘 面条 食品 类型 面食 管 吃 形状 奶酪 
大砍刀,刀 金属 锐利 长 切 危险 武器 手 
机,生产 人类 金属 机械 工作 
鲭鱼,狩猎 水 鱼 规模 吃 游泳 蛋 鳍 铺设 g 人 
黑手党,组织 意大利 帮派 家庭 犯罪 暴民 集团 
got,bug 幼虫 死 婴儿 白 飞 腐 毛 蠕虫 
魔术,幻觉 解释 已 把戏 真实 
磁铁,制冷 求和 收费 金属 极 相反 否定 棒 举行 对象 积极 吸引 
女佣,清洁 服务 工作 已婚 女人 房子 女孩 女性 
邮件,系统 包 信 发送 发布 
邮箱,放置 框 接收 邮件 发布 字母 
邮递员,一个 携带 传递 之一 邮件 发布 工作 人 
主要,办公室 街道 中心 等级 重要 主要 大多数 大 
多数,投票 数 多数 集团 伟大 大 
制造商,生产 公司 制造 工厂 神 创建 人 
男性,男孩 肌肉 之一 强 女性 
购物中心,食品 商店 钱 存储 法院 布 人 
麦芽,酒 谷物 类型 饮料 牛奶 奶昔 巧克力 啤酒 
哺乳动物,生活 动物 人类 血液 生物 出生 温暖 给予 毛皮 头发 空气 呼吸 
男人,男孩 男 人类 相反 女人 男性 阴茎 头发 强 人 
经理,老板 业务 头 工作 收费 
普通话,水果 口味 好 种子 小 甜 基督 橙色 皮 皮肤 中国 一轮 树 果汁 语言 
mangle,损坏 破坏 向上 节拍 眼泪 
操纵,潜行 技巧 想要 更改 控制 欺骗 
方式,路径 直接 样式 路 方式 行为 
举止,方式 好 行为 人 
许多,很少 更多 数量 几个 大 
地图,路线 计划 功能 地方 关系图 表示 显示 世界 
枫叶,糖浆 风味 加拿大 叶 类型 离开 树 汁液 
大理石,颜色 硬 收集 小 卷 播放 袋 儿童 一轮 光滑 游戏 玻璃 
3月,命令 节奏 轮胎 顺序 组织 军事 时间 运输 行动 移动 腿部 脚手臂 节拍 集团 控制 步行 音乐 返回 高 秋千 
边距,边缘 纸张 区域 空间 边框 
海军陆战队,战斗 军事 服务 骄傲 战争 分支机构 
木偶,哑巴 字符串 木偶 控制 娃娃 
标记,颜色 名称 钢笔 不同 斑点 男性 标记 符号 写 线 
市场,水果 出售 生产 食品 店 地方 杂货 良好 购买 钱 存储 人 
栗色,棕色 颜色 暗 红色 紫色 
婚姻,两个 爱 之一 离婚 提交 家庭 女人 债券 星期三 人 
结婚,爱 环 结婚 提交 妻子 
火星,系统 四 太阳能 红色 太阳 地球 行星 战争 神 
玛丽,处女 名称 母亲 耶稣 女人 女孩 女性 
面具,服装 隐藏 穿 部分 封面 万圣节 脸 
梅森,石头 名称 砖 生成 工作 jar 
质量,生产 好 价值 服务 天主教 称重 措施 组 大 
按摩,感觉 费用 好 缓解 疗法 擦 肌肉 应力 正文 放松 手 人 
大师,最佳 自己 奴隶 铅 专家 
精通,最佳 完美 技能 专家 知道 
垫,地板 脚 由 东西 地毯 橡胶 小 擦拭 鞋 封面 材料 欢迎 浴室 保护 汽车 
匹配,相同 事件 体育 一起 光 消防 木材 对 竞争 开始 游戏 
材料,棉花 项目 不同 需要 对象 织物 生成 布 
数学,数学 计算 研究 学科 科学 数字 
物质,化工 药物 对象 质量 存在 称重 材料 物质 原子 
成熟,响应 明智 旧 成长 经验 向上 年龄 成人 
也许,可能 确定 也许 
麦当劳,快速 食品 油炸 服务 地方 健康 餐厅 麦当劳 汉堡包 
我,我自己 说话 对象 自我 人 
草甸,草 花 字段 土地 区域 
意思是,好 人 平均 粗鲁 愤怒 
含义,解释 生活 定义 目的 人 
有意义的,重要的 平均的 价值的 情感的 表示的 
意味着,定义 可行 完成 方式 方法 
度量,尺寸 大小 称重 请参阅 金额 
测量,尺寸 长度 宽 称重 测量 
奖牌,奖 周围 刻 银 脖子 赢 金属 功能区 一轮 磨损 奥运 奖励 青铜器 黄金 实现 
媒体,通知 新 报纸 广播 电视 
医疗,医生 医疗 生病 相关 治愈 医院 
医学,疾病 药物 治疗 医学 治愈 
中世纪,旧 骑士 时间 年龄 中间 
平庸,好 质量 坏 平均 中级 
中,大小 小 中 平均 大 人 
见面,一起 来 参加 见 人 
圆润的,躺 返回 冷 平静的 放松 
融化,状态 热 固体 液体 冰 
成员,所属 家庭 部分 俱乐部 组 
纪念馆,葬礼 荣誉 死 严重 记住 
内存,可用 思想 通过 脑 存储 记住 调用 
威胁,试图 沟通 恐慌 单词 说话 死亡 舒适 侵略性 斗争 说 恐惧 愤怒 人 力 威胁 需求 警告 物理 伤害 大喊 行动 感觉 权力惩罚 人类 电源 想要 坏 危险 集团 意图 丹尼斯 建议 神经 讨厌 当局 后果 动物 情感 喜欢 意味着 麻烦 暴力 粗鲁 请 停止 
修补,更好 一起 休息 修复 缝制 
精神,狂热 思想 思考 大脑 思维 
菜单,餐 食品 选择 它 单词 列表 顺序 纸 塑料 餐厅 价格 在 
喵喵,沟通 快乐 语音 轮胎 长 毛皮 猫安静 黑色 可听见 参加 声音 哭了 温暖 基音 行动 动词 语言 腿部 饥饿 退出 噪声 四 表达 意图 声乐 情感 朋友 问题 purr 动物 软 大声 输入 恐慌 调用 
优点,收入 价值 质量 应得的 
消息,通知 动词 沟通 请注意 写 文本 人 
凌乱,污垢 组织 清洁 到处 凌乱 房间 人 
金属,沉重 硬 音乐 银 类型 光泽 许多 材料 元素 强 生成 黄金 
流星,天空 出 岩 火 空间 地球 明星 大气 秋天 
陨石,天空 流星 岩 火 通过 空间 部分 地球 明星 小行星 秋天 
仪表,系统 长度 度量 公园 单位 措施 
卫理公会,新教徒 宗派 教堂 类型 基督 宗教 
细致,专心 详细 精确 完美 护理 
公制,数学 系统 仪表 单位 措施 
墨西哥,边界 团结 北 美国 国家 南 西班牙 
小鼠,大鼠 动物 小 吃 毛皮 啮齿动物 尾巴 老鼠 
麦克风,放大 设备 说话 声音 记录 唱歌 大声 
显微镜,费用 看看 东西 镜头 里面 放大 仪器 金属 光 目镜 科学 请参阅 向上 实验室 关闭 玻璃 
微波,召集 快速 电动 库克 烤箱 由 信号 食品 框 家电 现代 热 完成 形状 辐射 转盘 厨房 
中间,两个 中心 中位数 结束 孩子 
可能,可能 力量 也许 发生 真实 
温和的,口味 都不 温和的 也不 热 香料 
霉菌,潮湿 真菌 湿 霉菌 成长 
英里,脚 长度 跟踪 五千二百八十 远 长 运行 驱动器 措施 步行 
牛奶,谷物 两个 来 饮料 奶油 脱脂 哺乳动物 液体 婴儿 健康 牛 好 乳制品 营养素 白 整个 巧克力 骨 冷 强 
